time,velocity
0,0.03
0.02,0.18
0.04,0.30
0.06,0.39
0.09,0.47
0.11,0.53
0.13,0.60
0.15,0.68
0.17,0.79
0.19,0.94
0.21,1.14
0.23,1.39
0.26,1.68
0.28,1.99
0.3,2.30
0.32,2.57
0.34,2.79
0.36,2.94
0.38,3.01
0.41,3.02
0.43,3.00
0.45,2.97
0.47,2.97
0.49,3.01
0.51,3.10
0.53,3.24
0.55,3.41
0.58,3.57
0.6,3.71
0.62,3.80
0.64,3.84
0.66,3.82
0.68,3.77
0.7,3.72
0.73,3.68
0.75,3.69
0.77,3.74
0.79,3.84
0.81,3.95
0.83,4.07
0.85,4.16
0.87,4.24
0.9,4.29
0.92,4.31
0.94,4.33
0.96,4.36
0.98,4.41
1,4.49
1.02,4.61
1.05,4.75
1.07,4.92
1.09,5.08
1.11,5.21
1.13,5.31
1.15,5.36
1.17,5.39
1.19,5.40
1.22,5.44
1.24,5.51
1.26,5.61
1.28,5.72
1.3,5.83
1.32,5.91
1.34,5.94
1.37,5.93
1.39,5.88
1.41,5.83
1.43,5.80
1.45,5.82
1.47,5.92
1.49,6.08
1.51,6.28
1.54,6.48
1.56,6.65
1.58,6.76
1.6,6.81
1.62,6.81
1.64,6.80
1.66,6.80
1.69,6.83
1.71,6.90
1.73,6.99
1.75,7.08
1.77,7.15
1.79,7.19
1.81,7.19
1.83,7.15
1.86,7.08
1.88,6.98
1.9,6.90
1.92,6.84
1.94,6.81
1.96,6.84
1.98,6.89
2.01,6.98
2.03,7.08
2.05,7.19
2.07,7.30
2.09,7.39
2.11,7.48
2.13,7.54
2.15,7.57
2.18,7.58
2.2,7.55
2.22,7.51
2.24,7.45
2.26,7.40
2.28,7.36
2.3,7.34
2.33,7.33
2.35,7.34
2.37,7.36
2.39,7.39
2.41,7.43
2.43,7.47
2.45,7.51
2.47,7.53
2.5,7.56
2.52,7.59
2.54,7.65
2.56,7.74
2.58,7.86
2.6,8.01
2.62,8.15
2.65,8.27
2.67,8.33
2.69,8.33
2.71,8.29
2.73,8.23
2.75,8.18
2.77,8.15
2.79,8.13
2.82,8.13
2.84,8.14
2.86,8.16
2.88,8.18
2.9,8.22
2.92,8.27
2.94,8.34
2.97,8.42
2.99,8.49
3.01,8.55
3.03,8.59
3.05,8.60
3.07,8.58
3.09,8.54
3.11,8.49
3.14,8.45
3.16,8.43
3.18,8.43
3.2,8.46
3.22,8.49
3.24,8.52
3.26,8.55
3.29,8.56
3.31,8.56
3.33,8.55
3.35,8.55
3.37,8.55
3.39,8.54
3.41,8.52
3.43,8.49
3.46,8.43
3.48,8.38
3.5,8.33
3.52,8.32
3.54,8.33
3.56,8.38
3.58,8.46
3.61,8.55
3.63,8.64
3.65,8.71
3.67,8.76
3.69,8.75
3.71,8.71
3.73,8.65
3.75,8.58
3.78,8.55
3.8,8.54
3.82,8.56
3.84,8.59
3.86,8.61
3.88,8.60
3.9,8.59
3.93,8.57
3.95,8.56
3.97,8.56
3.99,8.58
4.01,8.64
4.03,8.72
4.05,8.82
4.07,8.91
4.1,9.00
4.12,9.06
4.14,9.09
4.16,9.08
4.18,9.05
4.2,9.02
4.22,8.99
4.25,8.97
4.27,8.95
4.29,8.93
4.31,8.91
4.33,8.87
4.35,8.83
4.37,8.78
4.39,8.75
4.42,8.72
4.44,8.70
4.46,8.68
4.48,8.67
4.5,8.67
4.52,8.69
4.54,8.72
4.57,8.78
4.59,8.85
4.61,8.91
4.63,8.97
4.65,9.01
4.67,9.02
4.69,9.02
4.71,9.01
4.74,8.99
4.76,8.95
4.78,8.92
4.8,8.89
4.82,8.88
4.84,8.87
4.86,8.87
4.89,8.88
4.91,8.90
4.93,8.92