Team,Surface,Athlete,Age,Height,Bodyweight,BMI,BSA,5m,10m,20m,30m,35m
W Soccer,Natural Grass,FMSS-011,24,165,58,21.3,1.6,1.21,1.99,3.38,4.71,5.36
W Soccer,Natural Grass,FMSS-013,27,161.2,57.5,22.1,1.6,1.43,2.3,3.75,5.19,5.81
W Soccer,Natural Grass,FMSS-015,21,165.4,58.8,21.5,1.6,1.11,1.93,3.29,4.6,5.26
W Soccer,Natural Grass,FMSS-020,23,171.5,68.2,23.2,1.8,1.08,1.85,3.24,4.52,5.17
W Soccer,Natural Grass,FMSS-022,22,161,61.2,23.6,1.6,1.17,1.92,3.28,4.55,5.18
W Soccer,Natural Grass,FMSS-029,26,163.7,62.8,23.4,1.7,1.14,1.96,3.33,4.67,5.34
W Soccer,Natural Grass,FMSS-036,23,169.3,58.6,20.4,1.7,1.29,2.06,3.38,4.68,5.26
W Soccer,Natural Grass,FMSS-044,21,169.1,66.7,23.3,1.8,1.14,1.95,3.3,4.6,5.23
W Soccer,Natural Grass,FMSS-058,31,164.8,60.6,22.3,1.7,1.27,2.04,3.35,4.62,5.2
W Soccer,Natural Grass,FMSS-062,25,165.5,59.8,21.8,1.7,1.3,2.08,3.44,4.74,5.37
W Soccer,Natural Grass,FMSS-070,22,162,61.1,23.3,1.6,1.2,2.02,3.42,4.78,5.45
W Soccer,Natural Grass,FMSS-074,28,170.2,69.4,24,1.8,1.14,1.98,3.43,4.85,5.57
W Soccer,Natural Grass,FMSS-078,25,174.9,64.9,21.2,1.8,1.38,2.16,3.58,4.94,5.64
W Soccer,Natural Grass,FMSS-086,24,173.3,64.8,21.6,1.8,1.2,2.08,3.57,4.97,5.69
W Soccer,Natural Grass,FMSS-089,34,157.8,56.4,22.6,1.6,1.38,2.19,3.56,4.85,5.5
W Soccer,Natural Grass,FMSS-093,24,162.4,59.8,22.7,1.6,1.28,2.05,3.37,4.6,5.23
W Soccer,Natural Grass,FMSS-097,23,166.3,58.7,21.2,1.7,1.15,1.93,3.37,4.74,5.44
W Soccer,Natural Grass,FMSS-103,21,165.2,58.3,21.4,1.6,1.11,1.9,3.24,4.56,5.2
W Soccer,Natural Grass,FMSS-106,22,164.6,67.2,24.8,1.7,1.15,2.04,3.55,5.02,5.83
W Soccer,Natural Grass,FMSS-110,24,162.1,61,23.2,1.6,1.2,2.02,3.45,4.83,5.53
W Soccer,Natural Grass,FMSS-111,23,166.6,70.5,25.4,1.8,1.26,2.02,3.34,4.59,5.18
W Soccer,Natural Grass,FMSS-114,26,170.2,65.9,22.7,1.8,1.49,2.27,3.71,4.99,5.68
W Soccer,Natural Grass,FMSS-115,24,164.5,55.7,20.6,1.6,1.24,2.07,3.54,4.92,5.65
W Soccer,Natural Grass,FMSS-116,35,161.4,56.4,21.7,1.6,1.42,2.2,3.54,4.81,5.43
W Soccer,Natural Grass,FMSS-123,24,169.6,60.6,21.1,1.7,1.17,1.93,3.32,4.59,5.23
W Soccer,Natural Grass,FMSS-124,24,166,56.4,20.5,1.6,1.17,1.95,3.36,4.71,5.37
W Soccer,Natural Grass,FMSS-128,32,176.6,70.5,22.6,1.9,1.08,1.88,3.28,4.59,5.27
W Soccer,Natural Grass,FMSS-130,21,163.4,54.8,20.5,1.6,1.04,1.82,3.16,4.42,5.04
W Soccer,Natural Grass,FMSS-133,21,173,62.3,20.8,1.7,1.17,2.05,3.51,4.89,5.62
W Soccer,Natural Grass,FMSS-134,25,171.2,62.8,21.4,1.7,1.17,2.02,3.55,5.04,5.79
W Soccer,Natural Grass,FMSS-137,23,182,80.1,24.2,2,1.16,1.99,3.48,4.9,5.64
W Soccer,Natural Grass,FMSS-148,21,165.2,62.2,22.8,1.7,1.2,2.01,3.49,4.89,5.55
W Soccer,Natural Grass,FMSS-149,26,182.5,75.5,22.7,2,1.2,2,3.4,4.71,5.37
W Soccer,Natural Grass,FMSS-150,24,157.7,55,22.1,1.5,1.15,1.93,3.37,4.73,5.41
W Soccer,Natural Grass,FMSS-151,21,169.1,66.7,23.3,1.8,1.14,1.95,3.3,4.59,5.23
FH U17,Hard Court,FMSS-154,16,159,53.6,21.2,1.5,1.23,2.08,3.51,4.85,5.57
FH U17,Hard Court,FMSS-157,16,169.2,52.9,18.5,1.6,1.21,2.05,3.43,4.71,5.33
FH U17,Hard Court,FMSS-161,16,171,61.5,21,1.7,1.3,2.04,3.35,4.63,5.24
FH U17,Hard Court,FMSS-172,16,160,65.2,25.5,1.7,1.26,2.06,3.44,4.76,5.42
FH U17,Hard Court,FMSS-174,16,166,57.9,21,1.6,1.2,1.99,3.29,4.59,5.22
FH U17,Hard Court,FMSS-175,15,166.5,63,22.7,1.7,1.27,2.05,3.35,4.58,5.18
FH U21,Hard Court,FMSS-178,20,168,67.3,23.8,1.8,1.17,1.98,3.42,4.78,5.46
FH U21,Hard Court,FMSS-179,20,174.5,78.7,25.8,2,1.17,1.97,3.35,4.68,5.31
FH U21,Hard Court,FMSS-180,19,158,53.1,21.3,1.5,1.26,2.06,3.45,4.81,5.49
FH U21,Hard Court,FMSS-181,19,173,89.2,29.8,2.1,1.22,2.09,3.59,5.05,5.83
FH U21,Hard Court,FMSS-191,20,164.7,56.7,20.9,1.6,1.3,2.1,3.5,4.83,5.49
FH U21,Hard Court,FMSS-197,20,158.1,65.6,26.2,1.7,1.17,1.98,3.41,4.78,5.49
FH Sr,Hard Court,FMSS-202,21,172.1,63.6,21.5,1.7,1.14,1.92,3.29,4.54,5.16
FH Sr,Hard Court,FMSS-205,23,173.9,61.6,20.4,1.7,1.26,2.07,3.42,4.67,5.27
FH Sr,Hard Court,FMSS-211,24,169.1,67.3,23.5,1.8,1.27,2.13,3.53,4.91,5.57
FH Sr,Hard Court,FMSS-217,20,172.4,71.8,24.2,1.9,1.16,1.95,3.34,4.68,5.33
FH Sr,Hard Court,FMSS-220,21,163.8,58.9,22,1.6,1.14,1.94,3.38,4.75,5.42